City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,fort bragg,35.139,-79.006,19.91,44,0,4.12,US,2024-11-09 21:45:49
148,majene,-3.5403,118.9707,24.91,86,98,1.53,ID,2024-11-09 21:49:45
149,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,67,75,4.0,RU,2024-11-09 21:49:47
150,vung tau,10.346,107.0843,25.54,82,24,4.9,VN,2024-11-09 21:49:48
151,anadyr,64.75,177.4833,-3.72,92,40,2.0,RU,2024-11-09 21:49:49
152,alice springs,-23.7,133.8833,22.75,49,100,3.6,AU,2024-11-09 21:47:29
153,hadibu,12.65,54.0333,25.53,81,77,3.73,YE,2024-11-09 21:49:51
154,acarau,-2.8856,-40.12,25.72,80,49,8.23,BR,2024-11-09 21:49:53
155,tyukhtet,56.5389,89.3011,-4.58,70,97,5.7,RU,2024-11-09 21:49:54
156,selfoss,63.9331,-20.9971,9.47,97,100,7.68,IS,2024-11-09 21:49:55
157,kruisfontein,-34.0033,24.7314,15.75,77,100,2.66,ZA,2024-11-09 21:49:56
158,kingston,17.997,-76.7936,26.53,83,75,5.14,JM,2024-11-09 21:47:06
159,emerald,-23.5333,148.1667,26.3,65,46,7.08,AU,2024-11-09 21:50:00
160,hasaki,35.7333,140.8333,17.66,68,100,5.94,JP,2024-11-09 21:50:01
161,khodoriv,49.4066,24.3136,1.1,83,1,3.11,UA,2024-11-09 21:50:02
162,ust-nera,64.5667,143.2,-22.67,97,100,1.35,RU,2024-11-09 21:50:03
163,anacortes,48.5126,-122.6127,11.27,90,100,3.09,US,2024-11-09 21:50:04
164,alofi,-19.0595,-169.9187,25.94,69,75,7.72,NU,2024-11-09 21:50:06
165,malindi,-3.2175,40.1191,26.25,83,13,5.03,KE,2024-11-09 21:50:07
166,arendal,58.4615,8.7725,6.89,87,100,2.58,NO,2024-11-09 21:50:08
167,sosnovka,56.255,51.2842,3.23,86,98,6.09,RU,2024-11-09 21:50:09
168,solok,-0.7918,100.6593,22.0,95,100,0.5,ID,2024-11-09 21:50:10
169,minas de matahambre,22.5887,-83.9447,27.2,64,98,2.86,CU,2024-11-09 21:50:12
170,lae,-6.7221,146.9847,25.3,79,46,2.28,PG,2024-11-09 21:50:13
171,guanica,17.9716,-66.908,29.1,66,100,2.78,PR,2024-11-09 21:50:14
172,kharabali,47.4196,47.2568,7.62,71,90,4.01,RU,2024-11-09 21:50:15
173,kodinar,20.7903,70.7031,25.92,56,17,2.99,IN,2024-11-09 21:50:16
174,cooper's town,26.8667,-77.5167,24.56,84,40,9.11,BS,2024-11-09 21:50:19
175,sechura,-5.5569,-80.8222,22.48,65,50,6.91,PE,2024-11-09 21:50:21
176,san patricio,28.017,-97.5169,30.97,45,0,3.84,US,2024-11-09 21:50:22
177,namibe,-15.1961,12.1522,21.24,68,97,5.52,AO,2024-11-09 21:48:31
178,ghanzi,-21.5667,21.7833,22.25,65,90,2.87,BW,2024-11-09 21:50:25
179,guerrero negro,27.9769,-114.0611,23.7,24,0,3.54,MX,2024-11-09 21:50:26
180,sitka,57.0531,-135.33,6.94,76,75,3.6,US,2024-11-09 21:50:27
181,bojia,26.4672,111.9681,18.5,53,95,1.46,CN,2024-11-09 21:50:30
182,chardara,41.2547,67.9692,8.99,63,1,2.26,KZ,2024-11-09 21:47:22
183,obo,5.3998,26.4869,23.13,76,97,1.29,CF,2024-11-09 21:50:32
184,ciudad bolivar,8.1222,-63.5497,32.96,45,100,5.3,VE,2024-11-09 21:50:33
185,montepuez,-13.1256,38.9997,22.12,87,14,2.45,MZ,2024-11-09 21:50:34
186,north platte,41.1239,-100.7654,5.6,95,100,1.34,US,2024-11-09 21:50:35
187,ati,13.2154,18.3353,25.69,18,75,4.16,TD,2024-11-09 21:50:36
188,nouadhibou,20.931,-17.0347,27.99,20,100,5.14,MR,2024-11-09 21:50:38
189,pisco,-13.7,-76.2167,22.03,60,0,6.17,PE,2024-11-09 21:50:39
190,horta,38.5333,-28.6333,20.8,97,40,3.13,PT,2024-11-09 21:50:40
191,katsuura,35.1333,140.3,16.75,91,100,0.7,JP,2024-11-09 21:50:41
192,flying fish cove,-10.4217,105.6791,25.82,94,100,5.14,CX,2024-11-09 21:50:42
193,castillo de locubin,37.5286,-3.9422,10.92,81,31,1.19,ES,2024-11-09 21:50:44
194,solnechnyy,50.7214,136.6319,-2.17,93,100,4.17,RU,2024-11-09 21:50:45
